TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
CONTINENTAL FLOOD BASALT,37.6403,134.3278,SAE,s_VG7 [20054],48.35,2.23,13.8,11.35,6.94,6.79,0.16,0.41,4.27,0.4,11.35,54.0,81.0,74.0,21.0,118.0,67.0,65.0,8.0,450.0,22.7,148.0,31.7,0.5,133.0,23.2,47.0,6.14,25.7,5.8,2.12,5.7,0.89,4.93,0.96,2.47,0.3,1.8,0.37,4.0,2.1
CONTINENTAL FLOOD BASALT,37.6403,134.3278,SAE,s_VG11 [20054],47.22,2.34,13.77,11.49,8.38,5.61,0.15,0.7,4.14,0.42,11.49,48.0,82.0,79.0,22.0,121.0,54.0,65.0,25.9,519.0,22.6,158.0,33.1,0.6,209.0,23.3,48.6,6.29,25.6,5.11,2.05,5.77,0.94,5.32,0.97,2.51,0.33,2.0,0.26,5.0,2.4
INTRAPLATE VOLCANICS,42.4293,119.6827,SAE,s_07D025-1 [20063],48.38,1.65,16.67,10.91,10.16,6.44,0.2,0.41,2.25,0.32,10.91,31.38,71.6,99.75,29.94,40.26,113.18,40.26,2.1,656.4,23.73,119.93,6.17,2.8,103.1,16.39,37.67,4.96,25.77,6.27,1.7,4.93,0.8,4.74,0.96,2.5,0.37,2.35,0.35,3.12,0.39
INTRAPLATE VOLCANICS,42.4583,119.0962,SAE,s_07D028-1 [20063],50.52,1.44,16.88,8.54,8.03,4.65,0.17,1.45,3.56,0.57,8.54,39.7,40.48,106.05,20.59,173.0,125.64,26.41,16.5,965.0,22.94,206.57,12.21,1.13,681.4,44.3,87.52,10.58,41.37,7.38,2.24,6.26,0.87,4.62,0.92,2.36,0.34,2.13,0.33,4.86,0.66
INTRAPLATE VOLCANICS,42.5262,118.4323,SAE,s_07D043-1 [20063],50.48,1.22,16.98,7.53,8.59,4.8,0.15,2.78,3.62,0.53,7.53,26.39,59.59,85.58,20.28,223.53,20.61,29.32,52.32,1257.4,23.81,134.98,5.76,0.59,936.0,69.44,138.92,18.63,75.93,14.29,3.61,9.8,1.18,5.53,0.95,2.26,0.31,1.84,0.27,3.52,0.42
INTRAPLATE VOLCANICS,42.5262,118.4323,SAE,s_07D043-2 [20063],48.2,1.21,16.76,7.65,7.53,5.16,0.12,2.07,4.8,0.51,7.65,29.78,73.83,86.14,20.94,251.15,22.48,30.69,39.16,1820.7,23.2,133.17,5.65,3.56,754.5,67.62,136.08,18.04,73.91,14.27,3.54,9.6,1.16,5.44,0.93,2.25,0.29,1.83,0.27,3.52,0.42
CONVERGENT MARGIN,0.510096,-78.321837,SAE,s_PB12029B [19324],48.48483545,1.1885965790000002,15.13479644,11.81,10.76670401,8.042836851,0.178289487,0.158479544,1.812609783,0.0693348,11.81,95.45166667,47.39766667,143.7016667,19.66433333,164.01233330000002,252.2053333,23.17666667,24.00266667,542.0,11.12266667,89.51533333,3.988666667,0.40966666700000004,536.7863333,10.936,20.33733333,2.904,12.835,2.792333333,0.953666667,2.456666667,0.348,2.105333333,0.40666666700000004,1.038,0.15366666699999998,0.9853333329999999,0.141333333,2.417,0.265333333
INTRAPLATE VOLCANICS,40.0,30.0,SAE,s_NB-29 [20101],46.04,1.48,15.6,8.47,10.17,9.47,0.15,1.25,2.6,0.58,8.47,155.8,59.2,69.0,27.0,232.0,287.39,57.3,15.2,969.1,19.4,137.7,19.8,0.4,360.0,33.8,65.6,7.3,27.5,5.28,1.51,4.74,0.68,3.59,0.73,1.97,0.29,1.85,0.28,3.2,1.0
INTRAPLATE VOLCANICS,40.0,30.0,SAE,s_NB-36 [20101],48.11,1.33,15.38,7.71,9.37,9.73,0.14,0.72,3.57,0.39,7.71,229.1,51.6,65.0,22.0,187.0,417.39,56.2,6.8,840.6,19.8,168.0,18.7,0.6,304.0,29.5,57.4,6.62,25.4,4.82,1.47,4.7,0.69,3.91,0.77,1.99,0.3,1.82,0.28,3.8,1.3
INTRAPLATE VOLCANICS,40.0,30.0,SAE,s_NB-37 [20101],47.6,1.47,15.26,8.09,9.77,10.06,0.15,1.12,3.68,0.39,8.09,243.0,54.1,71.0,23.0,199.0,396.87,72.5,22.8,841.3,19.4,163.0,17.7,1.1,327.0,31.1,64.2,7.24,29.2,5.48,1.58,4.95,0.72,3.76,0.71,1.91,0.28,1.78,0.25,3.8,1.7
INTRAPLATE VOLCANICS,40.0,30.0,SAE,s_NB-13 [20101],45.16,1.76,15.3,8.72,10.58,8.08,0.15,0.89,3.45,0.5,8.72,177.0,39.5,52.0,23.0,209.0,369.5,50.1,7.7,765.5,21.9,184.2,22.6,0.5,322.0,34.4,69.2,8.64,34.8,6.33,1.88,6.01,0.74,4.67,0.76,2.12,0.29,1.67,0.29,4.5,1.4
INTRAPLATE VOLCANICS,40.0,30.0,SAE,s_NB-11 [20101],45.36,1.55,16.37,8.32,9.69,8.04,0.15,0.91,3.1,0.25,8.32,82.0,50.5,51.0,30.0,251.0,218.96,43.0,11.6,408.4,21.0,115.8,13.4,0.7,135.0,14.6,29.9,4.08,17.4,4.06,1.36,4.44,0.61,4.37,0.78,2.05,0.31,1.88,0.31,3.1,0.7
INTRAPLATE VOLCANICS,52.0,39.0,SAE,s_389.8 [20102],51.47,0.46,13.84,9.55,5.55,10.84,0.17,0.91,2.47,0.09,9.55,54.4,46.7,101.0,23.3,140.0,676.0,46.6,23.8,237.0,12.5,90.7,5.14,0.95,269.0,17.2,38.1,4.4,18.44,3.27,0.812,2.78,0.41200000000000003,2.26,0.473,1.48,0.21100000000000002,1.45,0.217,2.39,0.316
INTRAPLATE VOLCANICS,52.5,40.0,SAE,s_257.5 [20102],51.15,0.63,17.6,9.18,7.18,5.91,0.128,1.37,3.1,0.11,9.18,63.0,12.5,94.9,26.8,173.0,148.0,34.1,47.3,474.0,15.7,112.0,4.48,0.79,529.0,13.8,30.8,3.83,14.8,3.14,1.05,3.31,0.495,2.99,0.614,1.85,0.254,1.68,0.268,2.97,0.36
CONVERGENT MARGIN,-22.33,-176.2,SAE,s_482-8-11 [2495],50.4,0.68,15.8,10.26,12.4,7.43,0.2,0.46,1.73,0.13,10.26,29.0,81.0,74.0,49.0,460.0,114.0,40.0,9.0,243.0,17.0,40.0,0.3,0.3,110.0,2.56,6.23,0.93,5.18,1.41,0.54,1.72,0.28,1.85,0.37,1.1,0.17,1.09,0.17,0.76,0.022000000000000002
CONVERGENT MARGIN,-22.33,-176.2,SAE,s_482-8-12 [2495],51.9,0.66,16.3,9.72,12.1,6.72,0.19,0.41,1.83,0.12,9.72,28.0,100.0,81.0,48.0,550.0,89.0,36.0,8.0,214.0,15.0,40.0,0.439,0.23,102.0,2.17,5.28,0.82,4.6,1.24,0.46,1.6,0.26,1.75,0.35,1.03,0.16,1.49,0.16,0.88,0.0344
CONVERGENT MARGIN,-22.33,-176.2,SAE,s_482-8-4 [2495],53.8,0.74,17.9,8.87,10.5,4.43,0.15,0.59,2.25,0.13,8.87,160.0,81.0,34.0,36.0,420.0,32.0,30.0,11.0,240.0,22.0,56.0,0.4,0.39,184.0,4.4,9.2,1.53,7.2,2.19,0.77,2.99,0.51,3.3,0.73,2.16,0.35,1.94,0.31,1.4,0.003
CONVERGENT MARGIN,-22.33,-176.2,SAE,s_ATA8-8 [10608] / s_482-8-8 [3591],51.4,0.75,17.5,10.06,11.5,5.53,0.19,0.55,1.99,0.14,10.06,41.0,85.0,86.0,39.1,361.0,32.0,15.0,9.9,263.0,15.7,39.0,0.526,0.25,186.0,3.89,9.32,1.26,6.17,2.15,0.79,2.51,0.45,2.87,0.59,1.76,0.27,1.65,0.27,1.0,0.037000000000000005
CONVERGENT MARGIN,-29.25,-177.87,SAE,s_7125 [13460],49.52,0.72,17.69,9.53,12.97,6.43,0.19,0.18,1.31,0.06,9.53,58.3,84.3,59.7,42.9,346.8,137.7,40.2,2.6,161.6,14.8,26.0,0.5,0.19,85.3,1.96,5.66,0.97,5.07,1.76,0.7,2.3,0.4,2.85,0.59,1.58,0.25,1.87,0.22,0.96,0.11
CONVERGENT MARGIN,-29.25,-177.87,SAE,s_7090 [13460],53.26,1.01,15.15,12.5,9.32,4.6,0.25,0.34,2.07,0.09,12.5,17.8,142.1,68.1,35.8,461.4,17.8,31.8,4.9,149.1,19.4,28.4,0.54,0.3,102.7,2.35,6.69,1.17,5.98,2.21,0.88,3.05,0.41,3.08,0.72,1.89,0.38,2.32,0.37,1.45,0.04
CONVERGENT MARGIN,-30.22,-178.55,SAE,s_10378 [2770],49.5,0.7,17.99,11.555,12.99,4.74,0.2,0.52,1.8,0.1,11.555,26.8,125.0,75.0,41.1,345.0,24.7,40.3,10.5,277.0,14.8,36.0,0.56,0.36,123.0,3.8,9.42,1.44,7.1,2.13,0.736,2.36,0.377,2.38,0.494,1.38,0.188,1.35,0.21,0.888,0.035
CONVERGENT MARGIN,-30.22,-178.55,SAE,s_10380 [20997],48.56,0.861,14.89,12.06,12.07,7.05,0.22899999999999998,0.45399999999999996,2.11,0.17,12.06,39.0,185.0,87.0,48.8,411.0,72.0,47.0,8.2,236.0,17.2,38.4,0.57,0.32,126.0,3.9,9.72,1.55,7.46,2.19,0.79,2.62,0.43,2.81,0.58,1.72,0.22,1.72,0.25,1.02,0.035
CONVERGENT MARGIN,-30.22,-178.55,SAE,s_10415 [3056],49.04,0.55,17.41,9.485,13.77,8.31,0.17,0.14,1.31,0.01,9.485,56.2,107.0,59.4,46.1,280.0,159.0,50.4,2.83,203.0,9.62,16.6,0.22,0.13,49.1,1.05,3.48,0.536,3.09,1.12,0.41700000000000004,1.401,0.24,1.58,0.33,1.0,0.13699999999999998,0.971,0.147,0.53,0.017
CONVERGENT MARGIN,-31.43,-178.9,SAE,s_14831 [20997],52.86,1.02,16.56,12.18,9.59,4.62,0.258,0.22,0.341,0.547,12.18,11.0,8.0,107.0,39.0,436.0,5.0,35.0,7.0,220.0,22.4,40.9,0.45,0.42,136.0,3.56,9.61,1.41,7.7,2.4,1.11,3.18,0.52,3.82,0.77,2.46,0.31,2.39,0.34,1.13,0.035
CONVERGENT MARGIN,-31.43,-178.9,SAE,s_14837 [20997],51.67,0.982,16.39,12.09,10.11,4.984,0.23800000000000002,0.36,1.506,0.172,12.09,18.6,79.4,107.0,38.7,356.0,11.7,43.5,8.84,220.0,16.9,28.8,0.4,0.47,127.0,2.73,7.63,1.26,6.21,1.92,0.8029999999999999,2.45,0.41,2.79,0.59,1.78,0.248,1.73,0.26,0.9,0.035
CONVERGENT MARGIN,-15.6,-175.65,SAE,s_N107 [3056],49.32,1.78,15.73,11.18,11.18,6.08,0.21,0.24,3.48,0.15,11.18,44.6,73.0,83.0,46.0,300.0,207.0,41.4,3.43,172.0,41.1,128.0,4.68,0.037000000000000005,45.6,5.56,9.71,2.58,8.41,2.98,1.41,4.31,0.981,6.24,1.39,4.12,0.537,4.08,0.584,2.73,0.27
CONVERGENT MARGIN,-15.6,-175.65,SAE,s_N108 [2770],48.98,1.53,15.5,10.48,11.63,7.0,0.19,0.17,3.07,0.09,10.48,54.3,92.2,81.4,45.9,265.0,303.0,44.2,2.85,163.0,28.9,92.7,3.46,0.037000000000000005,35.0,4.46,12.9,2.15,10.9,3.49,1.36,4.63,0.8059999999999999,5.45,1.18,3.33,0.49700000000000005,3.18,0.48,2.5,0.22699999999999998
CONVERGENT MARGIN,-15.6,-175.65,SAE,s_N110 [2770],49.9,1.67,13.38,11.49,11.16,6.72,0.2,0.19,3.19,0.1,11.49,44.5,88.1,89.3,46.7,280.0,179.0,45.9,3.18,161.0,31.4,102.0,3.96,0.040999999999999995,38.4,4.09,12.3,2.35,10.0,3.19,1.25,4.61,0.882,5.5,1.28,3.48,0.5429999999999999,3.34,0.524,2.74,0.263
CONVERGENT MARGIN,-15.6,-175.65,SAE,s_N111 [2770],50.74,1.37,14.5,10.82,11.55,7.22,0.18,0.17,3.23,0.1,10.82,57.5,84.0,82.0,45.6,288.0,319.0,42.3,2.67,165.0,32.9,95.8,3.53,0.035,32.8,4.21,12.1,1.98,10.2,3.41,1.23,4.32,0.785,5.11,1.12,3.12,0.428,3.05,0.466,2.09,0.2
CONVERGENT MARGIN,-15.6,-175.65,SAE,s_N131 [2770],50.23,1.41,15.0,10.18,12.3,7.32,0.19,0.17,3.0,0.07,10.18,61.2,77.0,81.0,48.2,301.0,345.0,43.9,3.02,160.0,33.5,96.9,3.75,0.038,35.3,4.27,12.2,2.01,10.1,3.43,1.24,4.31,0.795,5.13,1.13,0.315,0.429,3.09,0.47,2.13,0.22
CONVERGENT MARGIN,20.9111,95.21,SAE,s_B04-12-5 [20049],47.67,0.99,17.44,8.0,12.24,5.69,0.13,1.82,1.96,0.19,8.0,21.2,81.4,57.8,29.7,268.0,25.0,29.1,35.2,820.0,20.9,89.1,3.02,0.39,691.0,33.4,66.3,8.2,32.7,6.39,1.85,5.0,0.72,3.7,0.72,2.0,0.28,1.75,0.26,2.4,0.17
CONVERGENT MARGIN,20.9111,95.21,SAE,s_B04-12-6 [20049],49.06,1.0,17.28,8.08,10.92,6.05,0.14,1.9,2.06,0.2,8.08,24.1,73.1,55.1,12.3,255.0,33.2,28.6,32.5,749.0,18.1,81.3,3.19,0.39,712.0,32.8,69.1,8.0,31.8,6.1,1.76,4.76,0.69,3.51,0.69,1.9,0.26,1.67,0.25,2.26,0.19
CONVERGENT MARGIN,20.9111,95.21,SAE,s_B04-12-8 [20049],49.56,1.01,17.99,8.31,11.06,5.6,0.14,1.68,2.36,0.22,8.31,18.2,212.0,81.1,8.68,272.0,29.8,29.0,20.9,939.0,16.1,97.2,3.12,0.12,665.0,28.4,62.3,7.46,30.2,5.86,1.74,4.64,0.67,3.35,0.66,1.8,0.25,1.57,0.24,2.47,0.17
CONVERGENT MARGIN,20.9111,95.21,SAE,s_B04-12-11 [20049],48.26,0.92,17.15,9.06,12.47,6.5,0.15,1.14,2.06,0.2,9.06,25.3,127.0,70.5,14.3,253.0,42.0,35.3,12.2,992.0,16.9,83.0,2.55,0.12,440.0,24.4,58.1,6.74,27.7,5.35,1.59,4.24,0.63,3.25,0.65,1.8,0.25,1.6,0.24,2.14,0.13
CONVERGENT MARGIN,20.9811,95.2419,SAE,s_BUR07-11 [20049],50.36,0.91,17.97,7.97,10.59,5.24,0.13,1.76,3.09,0.28,7.97,16.4,92.9,73.7,30.5,297.0,21.0,29.3,24.0,1053.0,18.6,109.0,3.48,0.11,709.0,35.9,70.0,8.31,34.0,6.32,1.78,5.37,0.71,3.51,0.69,1.91,0.26,1.67,0.25,2.48,0.18
CONVERGENT MARGIN,20.9531,95.19,SAE,s_BUR07-13A [20049],49.88,0.75,17.74,6.74,11.94,4.31,0.12,2.05,2.96,0.24,6.74,12.0,59.3,42.3,21.4,252.0,10.3,22.7,37.4,1096.0,17.9,123.0,3.28,0.83,848.0,41.0,77.6,9.03,36.1,6.38,1.75,5.35,0.7,3.41,0.66,1.85,0.25,1.64,0.24,2.68,0.19
CONVERGENT MARGIN,22.22,95.3,SAE,s_B04-10-2 [20049],45.04,1.11,14.82,8.75,11.51,10.16,0.15,2.03,1.52,0.39,8.75,165.0,71.1,72.4,5.44,176.0,282.0,33.9,30.2,1077.0,22.6,122.0,11.0,0.24,996.0,60.2,115.0,14.7,57.6,10.5,2.89,7.44,1.01,4.56,0.83,2.24,0.29,1.84,0.27,2.85,0.63
CONVERGENT MARGIN,22.6214,96.0339,SAE,s_BUR09-01B [20049],51.21,1.9,17.45,7.65,5.9,5.55,0.11,3.44,4.28,0.59,7.65,87.4,34.9,90.4,44.1,81.9,153.0,28.7,102.0,886.0,19.7,314.0,51.2,1.87,1065.0,25.8,53.2,6.78,27.7,6.36,2.07,5.51,0.79,4.0,0.72,1.71,0.22,1.25,0.17,6.28,2.79
CONVERGENT MARGIN,22.6214,96.0339,SAE,s_BUR09-01C [20049],51.37,1.93,17.42,7.71,6.01,5.54,0.11,3.45,4.34,0.6,7.71,78.7,35.2,101.0,11.7,88.4,130.0,31.3,84.2,722.0,19.6,296.0,51.6,2.78,768.0,26.6,54.2,6.82,28.5,6.48,2.07,5.68,0.81,4.09,0.72,1.74,0.22,1.26,0.18,6.25,2.76
CONVERGENT MARGIN,22.6181,96.0425,SAE,s_BUR09-02A [20049],50.81,1.9,17.81,7.52,6.21,5.32,0.11,3.4,4.16,0.58,7.52,85.7,28.9,89.0,43.7,79.8,151.0,28.3,100.0,601.0,19.4,320.0,50.4,2.19,798.0,25.2,52.6,6.66,27.1,6.27,2.02,5.34,0.79,4.0,0.7,1.71,0.22,1.23,0.17,6.34,2.72
CONVERGENT MARGIN,22.6181,96.0425,SAE,s_BUR09-02B [20049],51.23,1.93,17.68,7.62,5.88,5.5,0.11,3.46,4.31,0.6,7.62,79.7,32.2,91.4,11.6,89.6,129.0,29.0,85.9,596.0,19.8,298.0,52.5,1.73,737.0,26.9,55.3,6.93,29.2,6.56,2.1,5.78,0.82,4.12,0.74,1.76,0.22,1.31,0.18,6.39,2.82
CONVERGENT MARGIN,22.6181,96.0425,SAE,s_BUR09-02C [20049],50.95,1.96,17.99,7.8,5.94,5.36,0.12,3.4,3.9,0.59,7.8,90.2,29.3,89.1,40.9,87.3,157.0,28.6,96.2,565.0,20.3,323.0,51.7,0.86,884.0,26.3,53.6,6.84,28.0,6.4,2.08,5.6,0.82,4.12,0.73,1.76,0.22,1.29,0.18,6.38,2.81
CONVERGENT MARGIN,22.5461,95.9855,SAE,s_BUR09-03A [20049],49.74,2.0,17.39,9.05,6.98,5.07,0.13,2.59,3.39,0.47,9.05,108.0,34.7,96.3,36.9,109.0,154.0,34.7,75.0,532.0,20.7,233.0,38.1,0.87,687.0,21.1,41.1,5.67,23.9,5.81,1.97,5.35,0.79,4.07,0.75,1.83,0.23,1.39,0.19,4.88,2.05
CONVERGENT MARGIN,22.5461,95.9855,SAE,s_BUR09-03B [20049],50.45,2.17,17.17,9.04,6.77,4.68,0.14,2.86,3.58,0.52,9.04,88.1,47.8,103.0,45.1,110.0,126.0,32.1,82.2,519.0,22.4,259.0,42.1,0.85,683.0,21.8,46.2,6.0,25.7,6.26,2.03,5.75,0.84,4.48,0.82,2.01,0.27,1.52,0.21,5.37,2.27
CONVERGENT MARGIN,55.7904,160.3381,SAE,s_1941A [20025],50.83,1.24,14.9,9.8,9.8,8.8,0.18,1.4,2.8,0.38,9.8,165.0,170.0,97.0,30.5,263.0,404.0,42.5,30.9,300.0,25.6,141.0,3.56,0.81,322.0,11.0,26.9,4.19,19.7,4.89,1.44,6.62,0.74,4.64,0.92,2.66,0.38,2.44,0.37,3.5,0.23
CONVERGENT MARGIN,55.792,160.3395,SAE,s_1941B [20025],51.0,1.23,15.0,9.7,9.8,8.8,0.18,1.3,2.8,0.38,9.7,132.0,166.0,97.0,29.5,271.0,320.0,43.1,29.3,300.0,24.9,147.0,3.63,0.74,318.0,10.8,26.8,4.07,19.0,4.91,1.43,10.2,0.74,4.59,0.92,2.65,0.38,2.42,0.36,3.45,0.23
CONVERGENT MARGIN,55.7965,160.333,SAE,s_1941C [20025],50.56,1.2,14.7,9.6,9.8,9.0,0.18,1.3,2.8,0.36,9.6,143.0,159.0,91.0,29.9,269.0,366.0,42.0,28.9,303.0,24.8,136.0,3.4,0.76,314.0,10.6,26.1,4.05,18.9,4.73,1.41,7.0,0.73,4.5,0.89,2.57,0.37,2.37,0.36,3.31,0.22
CONVERGENT MARGIN,55.6886,160.2469,SAE,"s_1975, NV [20025]",51.25,0.96,13.9,9.2,11.2,9.8,0.18,0.9,2.5,0.23,9.2,110.0,155.0,83.0,40.7,273.0,218.0,43.3,19.2,298.0,21.0,89.0,1.98,0.52,239.0,6.92,17.5,2.77,13.6,3.66,1.15,3.89,0.6,3.71,0.74,2.15,0.31,1.96,0.29,2.3,0.13
CONVERGENT MARGIN,55.6,160.1911,SAE,"s_1975, SV [20025]",51.89,1.64,17.3,9.8,8.0,4.7,0.17,2.1,3.6,0.61,9.8,48.1,232.0,109.0,20.4,292.0,68.0,32.5,55.7,361.0,32.8,223.0,5.86,1.72,495.0,15.4,36.7,5.46,25.3,6.19,1.71,6.09,0.92,5.75,1.13,3.32,0.48,3.11,0.46,5.22,0.42
CONVERGENT MARGIN,55.763999999999996,160.3205,SAE,s_2013A [20025],52.02,1.95,16.3,10.8,7.3,4.3,0.19,2.4,3.7,0.76,10.8,33.1,248.0,118.0,23.1,332.0,17.0,33.0,69.9,324.0,41.9,276.0,7.14,2.17,582.0,20.3,49.5,7.35,33.5,8.06,2.16,7.84,1.18,7.26,1.44,4.2,0.6,3.94,0.59,6.4,0.48
CONVERGENT MARGIN,55.7574,160.3237,SAE,s_2013B [20025],51.79,1.95,16.3,10.6,7.2,4.2,0.18,2.5,3.7,0.75,10.6,18.8,272.0,116.0,22.4,329.0,18.0,31.9,69.4,322.0,40.4,275.0,7.08,2.13,580.0,19.6,47.2,6.99,31.9,7.72,2.06,7.55,1.14,7.03,1.4,4.09,0.59,3.83,0.58,6.38,0.46
CONVERGENT MARGIN,55.7582,160.248,SAE,s_2013D [20025],53.86,1.81,16.4,9.6,7.2,3.5,0.18,2.6,3.9,0.74,9.6,45.0,299.0,120.0,19.7,293.0,37.0,25.6,68.9,325.0,36.8,274.0,7.06,2.14,584.0,17.9,43.3,6.42,29.4,7.15,1.92,7.16,1.05,6.62,1.31,3.83,0.55,3.6,0.53,6.51,0.47
CONVERGENT MARGIN,-35.721880999999996,-69.453761,SAE,s_123905 [18602],46.775,1.527,15.015,10.02,9.966000000000001,10.004,0.159,0.99,3.26,0.42,10.02,134.8581633,47.45606322,92.87025796,22.19194191,198.4464137,237.9183145,55.97764062,19.14815542,520.9820768999999,22.42364445,125.0,9.394827061,0.601032526,424.2031032,17.13715968,35.79988143,4.75541943,20.34973553,4.7884589019999995,1.5474457590000001,5.028951837,0.7692790340000001,4.38656928,0.819756961,2.208047075,0.314581619,1.911715024,0.283248695,3.195,0.612140895
CONVERGENT MARGIN,-35.788476,-69.269747,SAE,s_123909 [18602],47.63,1.39,16.621,9.57,10.544,7.879,0.163,0.985,3.72,0.37799999999999995,9.57,99.1581683,61.01430612,79.14346101,29.08678175,265.74950930000006,256.30874159999996,42.73993611,20.799806600000004,739.4093849999999,22.89441363,128.1749171,10.64275584,0.669933,406.572604,18.237176100000003,40.13789057,5.53392931,24.15802352,5.157911124,1.651483187,5.080104184,0.75798871,4.338513474,0.828488571,2.301943696,0.334850233,2.015183077,0.293304,2.9347065,0.5713714289999999
CONVERGENT MARGIN,-35.829190999999994,-69.17511400000001,SAE,s_123937 [18602],49.27,1.585,16.406,10.3,9.732000000000001,6.682,0.156,0.7909999999999999,3.52,0.29,10.3,76.91042544,46.41111636,83.12570632,25.18982816,209.4927457,168.33257659999998,40.29071627,13.01755563,490.4103272,22.59550005,110.42510630000001,8.702391976,0.200323577,283.8497646,12.93760509,28.98104621,3.8834142989999996,17.67270345,4.4512914960000005,1.5244006280000002,4.649615651,0.727440437,4.261731495,0.8183995959999999,2.191878455,0.31799183,1.90608014,0.278832295,2.8607873360000005,0.495062679
CONVERGENT MARGIN,-35.668585,-69.49763,SAE,s_126192 [18602],46.11,1.84,16.11,9.91,10.54,8.07,0.16,1.14,3.47,0.5,9.91,98.13069048,53.67180447,76.01540194,26.54100313,238.1699054,180.1549601,44.11679553,22.44708048,750.405916,24.76350037,153.5,18.11683939,0.791169903,400.4312467,21.51308218,46.48218442,6.179743116,25.89755911,5.871284587999999,1.861056122,5.709509,0.852348421,4.672602062,0.884587097,2.341915789,0.332047893,1.975948746,0.295657143,3.665,0.9671660129999999
CONVERGENT MARGIN,-35.803748999999996,-69.17734,SAE,s_126204 [18602],48.98,1.57,16.76,9.79,9.87,6.98,0.16,0.88,3.43,0.33,9.79,83.77100387,44.24863392,79.46335551,24.28611433,204.29874819999998,193.8651291,41.02134772,15.25694228,697.5813666,22.05849781,124.8,10.07439549,0.159301379,358.8091042,15.32606766,33.85354919,4.7548709339999995,20.88359868,4.784026086,1.708267061,5.093236568,0.73694717,4.074090674,0.7944303890000001,2.072596988,0.286764382,1.81140282,0.26497759,3.136,0.57279785
CONVERGENT MARGIN,-36.004591999999995,-69.08827,SAE,s_126222 [18602],45.03,1.79,15.95,10.18,11.5,6.69,0.16,0.92,3.05,0.53,10.18,75.57150632,47.20408205,85.17241467,24.35004972,224.370263,152.2623889,39.36410163,19.53851182,729.8455502,24.50903743,146.1736779,15.91649524,1.083472485,407.3301276,21.89879872,46.28459535,6.177043689,26.85538113,6.082080218,1.9036981219999998,5.9982418189999995,0.851694341,4.773827787,0.887136536,2.3628370569999997,0.33685440000000005,2.071126998,0.297543991,3.4956900280000003,0.8713199979999999
CONVERGENT MARGIN,-36.074162,-69.226889,SAE,s_126259 [18602],47.33,1.78,16.22,10.21,10.13,6.95,0.15,0.79,3.44,0.34,10.21,88.64135091,47.1650633,86.24356034,26.1650016,217.903995,238.4098001,41.24575709,13.69763294,611.5926762,23.45647666,137.66545380000002,12.39613351,0.353733148,307.40953019999995,14.22422436,32.10613348,4.336196761,19.70144171,4.794433494,1.6746758240000001,5.003769615,0.772244505,4.33167033,0.819501227,2.26519599,0.310973244,1.8354056680000002,0.281370085,3.244669615,0.6765769229999999
CONVERGENT MARGIN,-36.310645,-69.666953,SAE,s_123917 [18602],47.346000000000004,1.7890000000000001,16.355,9.82,10.868,7.49,0.153,0.745,3.18,0.325,9.82,92.21276687,55.6986598,84.37599920000001,27.21747383,219.01259380000002,226.13481000000002,45.11055645,9.372618057999999,608.2022605000001,22.29186007,127.1,12.90176605,0.31909422,253.11498319999998,13.38556873,30.11999711,4.281626794,19.58359868,4.683673612,1.603225264,5.004107218,0.7390903390000001,4.2214404739999996,0.819955933,2.141825124,0.301539891,1.82630294,0.272588041,3.1289999999999996,0.728693928
CONVERGENT MARGIN,-36.534822999999996,-69.630201,SAE,s_126280 [18602],47.31,2.1,16.15,10.45,9.88,6.47,0.16,0.98,3.54,0.43,10.45,62.14456666,49.86764864,93.04234422,25.66206384,217.48673959999996,139.2562569,40.44604781,13.23888984,638.7261485,25.18255076,151.1529832,17.92296476,0.325686381,256.98901780000006,16.43464953,36.90272675,4.970695804,22.44220414,5.397301007,1.8913955519999999,5.633831579,0.865604487,4.728986355,0.910737008,2.410652399,0.319010509,2.010653124,0.312015595,3.638881871,1.001050032
CONVERGENT MARGIN,-36.404163,-69.332706,SAE,s_123926 [18602],47.184,1.806,16.927,9.81,10.645999999999999,5.945,0.159,1.1420000000000001,3.59,0.47100000000000003,9.81,47.7678658,48.86805839,80.03555909999999,27.53199585,231.49246839999998,83.86726471,37.47428832,20.29108465,767.5296942000001,24.32823967,155.4,17.13287496,0.775396781,394.9989353,19.30500816,42.68549611,5.445429891,23.75907277,5.440231887,1.7814336830000002,5.446147216,0.8080654209999999,4.550202137,0.8446472290000001,2.289578339,0.329859273,1.97211123,0.301035363,3.71,0.965890235
